MEMBER CODE,FAT,SNF,RATE,Qty.,AMOUNT,Shift
0011*  ,8.34,9.38,40.28,1.86,74.92,Evening
0007*  ,5.01,9.13,30.63,2.81,86.07,Evening
0010*  ,5.3,9.12,31.41,1.44,45.23,Evening
0006*  ,4.13,9.35,28.6,3.06,87.52,Evening
0011*  ,7.88,9.5,39.23,1.85,72.58,Evening
0006*  ,4.09,9.22,28.25,3.29,92.94,Evening
0038*  ,3.99,8.72,27.06,2.63,71.17,Evening
0001*  ,7.18,9.78,37.81,3.4,128.55,Evening
0012*  ,4.7,8.83,29.22,5.57,162.76,Evening
0012*  ,5.37,9.19,31.73,3.74,118.67,Evening
0039*  ,6.63,9.61,35.98,2.66,95.71,Evening
0011*  ,8.41,9.54,40.77,1.95,79.5,Evening
0014*  ,7.79,9.1,38.24,2.55,97.51,Evening
0043*  ,5.53,9.03,31.88,2.9,92.45,Evening
0033*  ,4.25,8.55,27.46,2.55,70.02,Evening
0010*  ,5.12,9.14,30.95,2.17,67.16,Evening
